current_path,class,target_owner,action,reason
src/internal/00_Foundation/Base.h,B,src/canonical/base,移動・正本化,Result/BinaryIO/FileIO/SHA-256/checked math/StrongIdをCanonical Coreの基盤へ移す。
src/internal/00_Foundation/BinaryIO.cpp,B,src/canonical/base,移動・正本化,Result/BinaryIO/FileIO/SHA-256/checked math/StrongIdをCanonical Coreの基盤へ移す。
src/internal/00_Foundation/BinaryIO.h,B,src/canonical/base,移動・正本化,Result/BinaryIO/FileIO/SHA-256/checked math/StrongIdをCanonical Coreの基盤へ移す。
src/internal/00_Foundation/CheckedMath.h,B,src/canonical/base,移動・正本化,Result/BinaryIO/FileIO/SHA-256/checked math/StrongIdをCanonical Coreの基盤へ移す。
src/internal/00_Foundation/FileIO.cpp,B,src/canonical/base,移動・正本化,Result/BinaryIO/FileIO/SHA-256/checked math/StrongIdをCanonical Coreの基盤へ移す。
src/internal/00_Foundation/FileIO.h,B,src/canonical/base,移動・正本化,Result/BinaryIO/FileIO/SHA-256/checked math/StrongIdをCanonical Coreの基盤へ移す。
src/internal/00_Foundation/Result.h,B,src/canonical/base,移動・正本化,Result/BinaryIO/FileIO/SHA-256/checked math/StrongIdをCanonical Coreの基盤へ移す。
src/internal/00_Foundation/Sha256.cpp,B,src/canonical/base,移動・正本化,Result/BinaryIO/FileIO/SHA-256/checked math/StrongIdをCanonical Coreの基盤へ移す。
src/internal/00_Foundation/Sha256.h,B,src/canonical/base,移動・正本化,Result/BinaryIO/FileIO/SHA-256/checked math/StrongIdをCanonical Coreの基盤へ移す。
src/internal/00_Foundation/StrongId.h,B,src/canonical/base,移動・正本化,Result/BinaryIO/FileIO/SHA-256/checked math/StrongIdをCanonical Coreの基盤へ移す。
src/internal/02_SemanticModel/SemanticModel.cpp,B,src/leaf/model,移動・正本化,Leaf内部Semantic Graphの正本。
src/internal/02_SemanticModel/SemanticModel.h,B,src/leaf/model,移動・正本化,Leaf内部Semantic Graphの正本。
src/internal/03_SemanticBuilder/SemanticBuilder.cpp,D,tests/fixtures/leaf,製品経路から分離,現在は製品14プロジェクトに含まれず、試験Fixtureからのみ利用。
src/internal/03_SemanticBuilder/SemanticBuilder.h,D,tests/fixtures/leaf,製品経路から分離,現在は製品14プロジェクトに含まれず、試験Fixtureからのみ利用。
src/internal/04_SemanticAnalysis/SemanticAnalysis.cpp,B,src/leaf/model,移動・正本化,Semantic依存・Lifetime解析の正本。
src/internal/04_SemanticAnalysis/SemanticAnalysis.h,B,src/leaf/model,移動・正本化,Semantic依存・Lifetime解析の正本。
src/internal/05A_CompilationInput/CompilationInput.cpp,B,src/leaf/model,移動・正本化,SemanticとTargetを結ぶ検証済み入力。
src/internal/05A_CompilationInput/CompilationInput.h,B,src/leaf/model,移動・正本化,SemanticとTargetを結ぶ検証済み入力。
